State_Name,code,Personal Healthcare Expenditure,Difference from average,Difference from average (%),Income,Personal Healthcare Expenditure Percent,Difference from Personal Healthcare Expenditure Percent Average
Alabama,AL,3521,0.824934881,17.50651188,"41,415",8.501750573,0.291318618
Alaska,AK,5709,1.337561271,33.75612714,"67,825",8.417250276,-0.70549329
Arizona,AZ,4064,0.952154319,4.784568103,"46,709",8.70067867,2.637983689
Arkansas,AR,3463,0.811346065,18.86539354,"38,758",8.934929563,5.401335864
California,CA,4499,1.054070443,5.407044318,"57,287",7.853439698,-7.356512494
Colorado,CO,4037,0.945828491,5.417150942,"55,387",7.288713958,-14.01832745
Connecticut,CT,4978,1.166295325,16.62953248,"65,753",7.570757228,-10.69119016
Delaware,DE,4971,1.164655295,16.46552952,"58,814",8.452069235,-0.294749731
District of Columbia,DC,8904,2.086117632,108.6117632,"63,124",14.10556999,66.39704986
Florida,FL,4195,0.982846301,1.71536988,"44,299",9.469739723,11.71025021
Georgia,GA,3946,0.924508106,7.549189403,"46,007",8.576955681,1.178479362
Hawaii,HI,3893,0.912090739,8.790926088,"61,821",6.297212921,-25.71461818
Idaho,ID,3036,0.71130426,28.86957401,"43,341",7.004914515,-17.36618153
Illinois,IL,4326,1.013538283,1.353828344,"53,234",8.126385393,-4.13669519
Indiana,IN,3872,0.90717065,9.282934964,"46,438",8.337999053,-1.64038425
Iowa,IA,3779,0.885381686,11.46183141,"49,427",7.645618791,-9.808082041
Kansas,KS,3802,0.890770355,10.92296455,"48,964",7.76488849,-8.401111182
Kentucky,KY,4548,1.06555065,6.555065027,"41,141",11.05466566,30.40690697
Louisiana,LA,3779,0.885381686,11.46183141,"41,734",9.054967173,6.817365433
Maine,ME,4522,1.059459112,5.945911181,"46,033",9.82338757,15.88207442
Maryland,MD,4220,0.98870355,1.129645028,"70,004",6.028226958,-28.88772431
Massachusetts,MA,5063,1.18620997,18.62099697,"62,859",8.054534752,-4.984284802
Michigan,MI,3952,0.925913846,7.408615438,"45,981",8.594854396,1.389622442
Minnesota,MN,4452,1.043058816,4.305881596,"56,954",7.816834638,-7.788325882
Mississippi,MS,3736,0.875307218,12.46927816,"36,919",10.11945069,19.37459757
Missouri,MO,4036,0.945594201,5.440579937,"45,247",8.919928393,5.224373826
Montana,MT,3659,0.857266893,14.2733107,"44,222",8.274162182,-2.393439034
Nebraska,NE,4137,0.969257485,3.074251536,"50,296",8.225306187,-2.969771174
Nevada,NV,3972,0.930599644,6.940035557,"48,927",8.118216935,-4.233054799
New Hampshire,NH,5007,1.173089733,17.3089733,"62,647",7.992401871,-5.717238395
New Jersey,NJ,4442,1.040715917,4.071591656,"67,458",6.584837973,-22.32163511
New Mexico,NM,4095,0.959417307,4.058269286,"41,963",9.758596859,15.11776762
New York,NY,5100,1.194878698,19.48786975,"55,246",9.23143757,8.899107148
North Carolina,NC,3782,0.886084556,11.39154443,"43,916",8.611895437,1.590647913
North Dakota,ND,4218,0.98823497,1.176503016,"51,704",8.157976172,-3.76403301
Ohio,OH,4126,0.966680295,3.33197047,"45,749",9.018776367,6.390438807
Oklahoma,OK,3426,0.802677337,19.73226632,"43,225",7.925968768,-6.500919757
Oregon,OR,4215,0.9875321,1.246789998,"46,816",9.003332194,6.208250866
Pennsylvania,PA,4304,1.008383905,0.838390474,"50,228",8.568925699,1.083753287
Rhode Island,RI,4731,1.108425709,10.84257094,"53,636",8.820568275,4.052267309
South Carolina,SC,4006,0.938565502,6.143449759,"42,367",9.45547242,11.54194526
South Dakota,SD,3962,0.928256745,7.174325498,"48,321",8.199333623,-3.276157805
Tennessee,TN,4028,0.943719881,5.628011889,"41,693",9.661094188,13.96757257
Texas,TX,4093,0.958948727,4.105127275,"49,392",8.286767088,-2.24474464
Utah,UT,3296,0.772219645,22.77803555,"55,869",5.899514937,-30.40608201
Vermont,VT,4770,1.117563017,11.75630171,"52,776",9.038199181,6.619560996
Virginia,VA,3586,0.840163727,15.98362727,"61,882",5.794899971,-31.64017759
Washington,WA,4098,0.960120177,3.987982304,"56,835",7.210345738,-14.94280202
West Virginia,WV,3972,0.930599644,6.940035557,"38,482",10.32170885,21.76054591
Wisconsin,WI,5036,1.179884141,17.98841413,"50,395",9.993054867,17.88356303
Wyoming,WY,4315,1.010961094,1.096109409,"56,322",7.661304641,-9.623043142
,,4268.215686,,,,8.477055333,
