Median Household Income By State,code,Column
Alabama,AL,"41415"
Alaska,AK,"67825"
Arizona,AZ,"46709"
Arkansas,AR,"38758"
California,CA,"57287"
Colorado,CO,"55387"
Connecticut,CT,"65753"
Delaware,DE,"58814"
District of Columbia,DC,"63124"
Florida,FL,"44299"
Georgia,GA,"46007"
Hawaii,HI,"61821"
Idaho,ID,"43341"
Illinois,IL,"53234"
Indiana,IN,"46438"
Iowa,IA,"49427"
Kansas,KS,"48964"
Kentucky,KY,"41141"
Louisiana,LA,"41734"
Maine,ME,"46033"
Maryland,MD,"70004"
Massachusetts,MA,"62859"
Michigan,MI,"45981"
Minnesota,MN,"56954"
Mississippi,MS,"36919"
Missouri,MO,"45247"
Montana,MT,"44222"
Nebraska,NE,"50296"
Nevada,NV,"48927"
New Hampshire,NH,"62647"
New Jersey,NJ,"67458"
New Mexico,NM,"41963"
New York,NY,"55246"
North Carolina,NC,"43916"
North Dakota,ND,"51704"
Ohio,OH,"45749"
Oklahoma,OK,"43225"
Oregon,OR,"46816"
Pennsylvania,PA,"50228"
Rhode Island,RI,"53636"
South Carolina,SC,"42367"
South Dakota,SD,"48321"
Tennessee,TN,"41693"
Texas,TX,"49392"
Utah,UT,"55869"
Vermont,VT,"52776"
Virginia,VA,"61882"
Washington,WA,"56835"
West Virginia,WV,"38482"
Wisconsin,WI,"50395"
Wyoming,WY,"56322"
